0,10,0,0
0.01,9.998,-0.2,-20
0.02,9.99406,-0.39396,-19.396
0.03,9.98824,-0.582022,-18.8062
0.04,9.9806,-0.764327,-18.2304
0.05,9.97119,-0.941009,-17.6682
0.06,9.96006,-1.1122,-17.1193
0.07,9.94728,-1.27804,-16.5835
0.08,9.9329,-1.43864,-16.0605
0.09,9.91696,-1.59414,-15.5499
0.1,9.89951,-1.74466,-15.0515
0.11,9.88061,-1.89031,-14.5651
0.12,9.86029,-2.03121,-14.0903
0.13,9.83862,-2.16748,-13.627
0.14,9.81563,-2.29923,-13.1748
0.15,9.79136,-2.42656,-12.7336
0.16,9.76587,-2.54959,-12.303
0.17,9.73918,-2.66842,-11.883
0.18,9.71135,-2.78315,-11.4731
0.19,9.68241,-2.89389,-11.0732
0.2,9.6524,-3.00072,-10.6832
0.21,9.62137,-3.10374,-10.3027
0.22,9.58934,-3.20306,-9.9315
0.23,9.55635,-3.29875,-9.5695
0.24,9.52244,-3.39092,-9.21644
0.25,9.48764,-3.47964,-8.87212
0.26,9.45199,-3.565,-8.53637
0.27,9.41552,-3.64709,-8.20898
0.28,9.37826,-3.72599,-7.88977
0.29,9.34024,-3.80178,-7.57855
0.3,9.3015,-3.87453,-7.27516
0.31,9.26206,-3.94432,-6.97942
0.32,9.22194,-4.01123,-6.69115
0.33,9.18119,-4.07534,-6.41019
0.34,9.13982,-4.1367,-6.13638
0.35,9.09787,-4.19539,-5.86955
0.36,9.05535,-4.25149,-5.60956
0.37,9.0123,-4.30505,-5.35624
0.38,8.96874,-4.35615,-5.10945
0.39,8.92469,-4.40484,-4.86904
0.4,8.88018,-4.45119,-4.63488
0.41,8.83523,-4.49525,-4.40681
0.42,8.78986,-4.5371,-4.1847
0.43,8.74409,-4.57679,-3.96841
0.44,8.69795,-4.61436,-3.75783
0.45,8.65145,-4.64989,-3.5528
0.46,8.60461,-4.68342,-3.35322
0.47,8.55746,-4.71501,-3.15896
0.48,8.51002,-4.74471,-2.96989
0.49,8.46229,-4.77257,-2.7859
0.5,8.4143,-4.79864,-2.60687
0.51,8.36608,-4.82297,-2.43269
0.52,8.31762,-4.8456,-2.26325
0.53,8.26895,-4.86658,-2.09844
0.54,8.22009,-4.88597,-1.93816
0.55,8.17106,-4.90379,-1.78229
0.56,8.12185,-4.9201,-1.63075
0.57,8.07251,-4.93493,-1.48342
0.58,8.02302,-4.94833,-1.34022
0.59,7.97342,-4.96034,-1.20105
0.6,7.92371,-4.971,-1.06581
0.61,7.87391,-4.98034,-0.934415
0.62,7.82402,-4.98841,-0.806776
0.63,7.77407,-4.99524,-0.682804
0.64,7.72406,-5.00086,-0.562416
0.65,7.67401,-5.00532,-0.445526
0.66,7.62392,-5.00864,-0.332054
0.67,7.57381,-5.01086,-0.221919
0.68,7.52369,-5.01201,-0.115044
0.69,7.47357,-5.01212,-0.0113529
0.7,7.42346,-5.01123,0.0892302
0.71,7.37336,-5.00936,0.186778
0.72,7.3233,-5.00655,0.281362
0.73,7.27327,-5.00282,0.373052
0.74,7.22329,-4.9982,0.461917
0.75,7.17336,-4.99272,0.548023
0.76,7.1235,-4.98641,0.631437
0.77,7.0737,-4.97928,0.712222
0.78,7.02399,-4.97138,0.790441
0.79,6.97436,-4.96272,0.866155
0.8,6.92483,-4.95332,0.939425
0.81,6.8754,-4.94322,1.01031
0.82,6.82607,-4.93243,1.07886
0.83,6.77686,-4.92098,1.14515
0.84,6.72778,-4.90889,1.20921
0.85,6.67881,-4.89618,1.27111
0.86,6.62999,-4.88287,1.3309
0.87,6.5813,-4.86898,1.38863
0.88,6.53275,-4.85454,1.44435
0.89,6.48435,-4.83956,1.49811
0.9,6.43611,-4.82406,1.54996
0.91,6.38803,-4.80806,1.59994
0.92,6.34012,-4.79158,1.64811
0.93,6.29237,-4.77463,1.6945
0.94,6.2448,-4.75724,1.73915
0.95,6.1974,-4.73942,1.78212
0.96,6.15019,-4.72118,1.82345
0.97,6.10317,-4.70255,1.86317
0.98,6.05633,-4.68354,1.90132
0.99,6.00969,-4.66416,1.93796
1,5.96325,-4.64443,1.9731
1.01,5.917,-4.62436,2.0068
1.02,5.87096,-4.60397,2.03908
1.03,5.82513,-4.58327,2.06999
1.04,5.77951,-4.56227,2.09955
1.05,5.7341,-4.541,2.12781
1.06,5.6889,-4.51945,2.1548
1.07,5.64393,-4.49764,2.18054
1.08,5.59917,-4.47559,2.20508
1.09,5.55464,-4.45331,2.22844
1.1,5.51033,-4.4308,2.25065
1.11,5.46625,-4.40808,2.27175
1.12,5.4224,-4.38517,2.29176
1.13,5.37878,-4.36206,2.31071
1.14,5.33539,-4.33877,2.32863
1.15,5.29224,-4.31532,2.34554
1.16,5.24932,-4.2917,2.36148
1.17,5.20664,-4.26794,2.37647
1.18,5.1642,-4.24403,2.39054
1.19,5.122,-4.22,2.4037
1.2,5.08004,-4.19584,2.41599
1.21,5.03832,-4.17156,2.42743
1.22,4.99685,-4.14718,2.43804
1.23,4.95563,-4.1227,2.44784
1.24,4.91464,-4.09813,2.45686
1.25,4.87391,-4.07348,2.46512
1.26,4.83342,-4.04876,2.47263
1.27,4.79318,-4.02396,2.47943
1.28,4.75319,-3.99911,2.48552
1.29,4.71345,-3.9742,2.49094
1.3,4.67396,-3.94924,2.4957
1.31,4.63471,-3.92424,2.49981
1.32,4.59572,-3.89921,2.5033
1.33,4.55698,-3.87415,2.50619
1.34,4.51849,-3.84906,2.50848
1.35,4.48025,-3.82396,2.51021
1.36,4.44226,-3.79885,2.51138
1.37,4.40452,-3.77373,2.51202
1.38,4.36704,-3.74861,2.51213
1.39,4.3298,-3.72349,2.51174
1.4,4.29282,-3.69838,2.51086
1.41,4.25609,-3.67328,2.5095
1.42,4.21961,-3.64821,2.50768
1.43,4.18337,-3.62315,2.50541
1.44,4.14739,-3.59813,2.50271
1.45,4.11166,-3.57313,2.4996
1.46,4.07618,-3.54817,2.49607
1.47,4.04095,-3.52325,2.49215
1.48,4.00596,-3.49837,2.48785
1.49,3.97123,-3.47354,2.48318
1.5,3.93674,-3.44876,2.47816
1.51,3.9025,-3.42403,2.47279
1.52,3.86851,-3.39936,2.46709
1.53,3.83476,-3.37475,2.46106
1.54,3.80126,-3.3502,2.45472
1.55,3.768,-3.32572,2.44809
1.56,3.73499,-3.30131,2.44116
1.57,3.70222,-3.27697,2.43395
1.58,3.66969,-3.2527,2.42647
1.59,3.6374,-3.22852,2.41873
1.6,3.60536,-3.20441,2.41074
1.61,3.57356,-3.18038,2.40251
1.62,3.54199,-3.15644,2.39404
1.63,3.51067,-3.13259,2.38535
1.64,3.47958,-3.10883,2.37644
1.65,3.44873,-3.08515,2.36732
1.66,3.41811,-3.06157,2.358
1.67,3.38773,-3.03809,2.34849
1.68,3.35758,-3.0147,2.3388
1.69,3.32767,-2.99141,2.32893
1.7,3.29799,-2.96822,2.31889
1.71,3.26854,-2.94513,2.30869
1.72,3.23931,-2.92215,2.29833
1.73,3.21032,-2.89927,2.28782
1.74,3.18156,-2.8765,2.27718
1.75,3.15302,-2.85384,2.26639
1.76,3.1247,-2.83128,2.25548
1.77,3.09662,-2.80884,2.24444
1.78,3.06875,-2.7865,2.23328
